#,,,,"generated_by='OpenQuake engine 3.16.1', start_date='2023-05-23T00:22:57', checksum=843156240"
custom_site_id,lon,lat,gmv_PGA,gsd_PGA
qd4nqfpf,1.15620E+02,-3.26400E+01,1.68862E-02,1.56444E+00
qd4nr4p4,1.15630E+02,-3.26400E+01,1.68802E-02,1.54689E+00
qd4nr5zh,1.15630E+02,-3.26300E+01,1.82367E-02,1.52942E+00
qd4nrpx0,1.15630E+02,-3.26100E+01,1.84677E-02,1.57352E+00
qd4nx1r5,1.15630E+02,-3.26000E+01,1.94411E-02,1.51100E+00
qd4nr2nr,1.15640E+02,-3.26500E+01,1.76436E-02,1.56661E+00
qd4nr7yk,1.15640E+02,-3.26300E+01,1.81504E-02,1.60048E+00
qd4nrrw2,1.15640E+02,-3.26100E+01,1.92040E-02,1.53165E+00
qd4nx3q7,1.15640E+02,-3.26000E+01,1.95257E-02,1.56605E+00
qd4nx7nm,1.15640E+02,-3.25900E+01,1.96895E-02,1.58597E+00
qd4nr8jz,1.15650E+02,-3.26500E+01,1.79363E-02,1.57626E+00
qd4nrdjf,1.15650E+02,-3.26400E+01,1.71921E-02,1.58601E+00
qd4nrxtb,1.15650E+02,-3.26100E+01,1.87547E-02,1.57109E+00
qd4nx9mg,1.15650E+02,-3.26000E+01,1.93339E-02,1.58841E+00
qd4nxsvz,1.15650E+02,-3.25800E+01,1.93378E-02,1.53021E+00
qd4nxgjj,1.15660E+02,-3.25900E+01,1.95504E-02,1.59006E+00
qd4nxuvp,1.15660E+02,-3.25800E+01,1.99593E-02,1.57159E+00
qd6hpvt4,1.15660E+02,-3.16100E+01,5.27091E-02,1.59200E+00
qd6hruv5,1.15660E+02,-3.15700E+01,4.65140E-02,1.56692E+00
qd4q85hm,1.15670E+02,-3.25900E+01,2.12987E-02,1.56021E+00
qd6k01um,1.15670E+02,-3.16300E+01,6.09729E-02,1.58492E+00
qd4q8qg9,1.15680E+02,-3.25700E+01,1.97380E-02,1.61462E+00
qd4qb2es,1.15680E+02,-3.25600E+01,2.12458E-02,1.62519E+00
qd6k025e,1.15680E+02,-3.16400E+01,6.23830E-02,1.57582E+00
