#,,,,,"generated_by='OpenQuake engine 3.16.1', start_date='2023-05-23T00:22:57', checksum=843156240"
event_id,slight,moderate,extensive,complete,loss_type
0,3.44042E+04,3.95975E+04,2.11385E+04,3.22957E+04,structural
1,3.22035E+04,4.04419E+04,2.31164E+04,3.21260E+04,structural
2,3.24459E+04,4.20460E+04,2.29935E+04,3.17193E+04,structural
3,3.44149E+04,4.06091E+04,2.25273E+04,2.96276E+04,structural
4,3.25690E+04,3.94280E+04,2.24356E+04,3.27352E+04,structural
5,3.33033E+04,3.89179E+04,2.17640E+04,3.29418E+04,structural
6,3.37247E+04,3.97088E+04,2.12422E+04,3.29470E+04,structural
7,3.40153E+04,3.96314E+04,2.16005E+04,3.15364E+04,structural
8,3.55405E+04,3.91950E+04,2.05370E+04,3.07839E+04,structural
9,3.23147E+04,3.89021E+04,2.32443E+04,3.33623E+04,structural
10,3.41199E+04,3.98137E+04,2.07134E+04,3.15297E+04,structural
11,3.37244E+04,3.81482E+04,2.19624E+04,3.19176E+04,structural
12,3.33328E+04,3.94854E+04,2.22641E+04,3.08761E+04,structural
13,3.58597E+04,3.75264E+04,2.01233E+04,3.06836E+04,structural
14,3.44183E+04,3.89431E+04,2.10475E+04,3.27310E+04,structural
15,3.50048E+04,4.00679E+04,2.03800E+04,3.13294E+04,structural
16,3.40855E+04,4.06355E+04,2.09204E+04,3.12022E+04,structural
17,3.30696E+04,3.92665E+04,2.15219E+04,3.40307E+04,structural
18,3.65361E+04,3.88981E+04,1.97748E+04,3.09684E+04,structural
19,3.28358E+04,3.92621E+04,2.29213E+04,3.21741E+04,structural
20,3.23339E+04,4.15071E+04,2.31606E+04,3.17571E+04,structural
21,3.25108E+04,3.93186E+04,2.27537E+04,3.28125E+04,structural
22,3.26798E+04,4.01492E+04,2.24284E+04,3.19973E+04,structural
23,3.21696E+04,4.00093E+04,2.24433E+04,3.28094E+04,structural
24,3.35770E+04,4.01876E+04,2.22531E+04,3.05935E+04,structural
25,3.46528E+04,3.99981E+04,2.16606E+04,3.10816E+04,structural
26,3.23078E+04,3.94615E+04,2.29758E+04,3.27463E+04,structural
27,3.42302E+04,4.13677E+04,2.16238E+04,3.03135E+04,structural
28,3.13365E+04,3.91722E+04,2.33737E+04,3.35553E+04,structural
29,3.58835E+04,3.81324E+04,2.03686E+04,3.10798E+04,structural
30,3.35395E+04,4.00619E+04,2.20274E+04,3.17461E+04,structural
31,3.28350E+04,3.90300E+04,2.25937E+04,3.19214E+04,structural
32,3.27682E+04,3.87672E+04,2.18097E+04,3.33951E+04,structural
33,3.40110E+04,3.96193E+04,2.16472E+04,3.20682E+04,structural
34,3.33031E+04,3.88405E+04,2.27821E+04,3.15500E+04,structural
35,3.48035E+04,4.02626E+04,2.12779E+04,3.07880E+04,structural
36,3.47561E+04,3.93815E+04,2.21929E+04,3.11405E+04,structural
37,3.29537E+04,3.83645E+04,2.19228E+04,3.31271E+04,structural
38,3.18012E+04,3.96188E+04,2.28090E+04,3.42539E+04,structural
39,3.36283E+04,4.05943E+04,2.21005E+04,3.13779E+04,structural
40,3.48204E+04,3.94961E+04,2.06790E+04,3.20636E+04,structural
41,3.34543E+04,4.02288E+04,2.09245E+04,3.27364E+04,structural
42,3.31668E+04,4.06117E+04,2.24696E+04,3.12991E+04,structural
43,3.27370E+04,4.02671E+04,2.20083E+04,3.25332E+04,structural
44,3.48355E+04,3.83561E+04,2.09902E+04,3.24320E+04,structural
45,3.45172E+04,3.93155E+04,2.12136E+04,3.17363E+04,structural
46,3.25835E+04,4.19590E+04,2.29085E+04,3.12433E+04,structural
47,3.22426E+04,3.88499E+04,2.26909E+04,3.35771E+04,structural
48,3.40735E+04,3.96692E+04,2.18971E+04,3.09034E+04,structural
49,3.36580E+04,4.06920E+04,2.23161E+04,3.05266E+04,structural
50,3.37046E+04,4.01385E+04,2.21184E+04,3.13283E+04,structural
51,3.30238E+04,4.02487E+04,2.22416E+04,3.15423E+04,structural
52,3.47888E+04,3.94845E+04,2.17918E+04,3.07308E+04,structural
53,3.59578E+04,3.94567E+04,2.04707E+04,3.05959E+04,structural
54,3.28583E+04,3.98871E+04,2.26020E+04,3.22705E+04,structural
55,3.26264E+04,3.94615E+04,2.22996E+04,3.26559E+04,structural
56,3.27959E+04,3.93072E+04,2.21576E+04,3.24164E+04,structural
57,3.16314E+04,4.13387E+04,2.37725E+04,3.18732E+04,structural
58,3.41866E+04,4.18439E+04,2.21197E+04,3.01287E+04,structural
59,3.45844E+04,4.11642E+04,2.08559E+04,3.10897E+04,structural
60,3.48418E+04,3.90563E+04,2.08367E+04,3.22792E+04,structural
61,3.28627E+04,3.87641E+04,2.20412E+04,3.29372E+04,structural
62,3.29569E+04,3.96500E+04,2.19501E+04,3.31386E+04,structural
63,3.22654E+04,4.04566E+04,2.33474E+04,3.23156E+04,structural
64,3.24178E+04,4.04510E+04,2.23359E+04,3.32540E+04,structural
